# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.311872312515e-04      -2.516992647615e-03      -1.888996936519e-03      -1.889007440137e-03      -2.516793708117e-03      -1.906912012418e-03       6.121325058422e-01       5.968128735548e-01 
       1.416527139199e-04      -2.934252428333e-03      -2.202391756814e-03      -2.202406034978e-03      -2.933982033821e-03      -2.223271044804e-03       6.121239109482e-01       5.968071408989e-01 
       1.529530821670e-04      -3.420617487868e-03      -2.567777189185e-03      -2.567796598022e-03      -3.420249983134e-03      -2.592109564820e-03       6.121138914216e-01       5.968004569565e-01 
       1.651549391254e-04      -3.987508824289e-03      -2.993777039046e-03      -2.993803422386e-03      -3.987009343082e-03      -3.022131437922e-03       6.121022078046e-01       5.967926649149e-01 
       1.783302012034e-04      -4.648226327573e-03      -3.490445129993e-03      -3.490480994240e-03      -4.647547495564e-03      -3.523483452998e-03       6.120885883903e-01       5.967835809156e-01 
       1.925565219523e-04      -5.418254797507e-03      -4.069502291487e-03      -4.069551044226e-03      -5.417332245010e-03      -4.107994316855e-03       6.120727116703e-01       5.967729909670e-01 
       2.079177497483e-04      -6.315618648640e-03      -4.744612560970e-03      -4.744678831821e-03      -6.314364932995e-03      -4.789453143737e-03       6.120542035527e-01       5.967606438485e-01 
       2.245044219853e-04      -7.361292675700e-03      -5.531705034717e-03      -5.531795121187e-03      -7.359588987014e-03      -5.583933918151e-03       6.120326272663e-01       5.967462500774e-01 
       2.424142986925e-04      -8.579677215406e-03      -6.449349032395e-03      -6.449471489533e-03      -8.577362186034e-03      -6.510173594891e-03       6.120074767868e-01       5.967294700168e-01 
       2.617529387212e-04      -9.999146931319e-03      -7.519191104070e-03      -7.519357564206e-03      -9.996001394204e-03      -7.590012434571e-03       6.119781594890e-01       5.967099082662e-01 
       2.826343218975e-04      -1.165268373606e-02      -8.766464307616e-03      -8.766690586702e-03      -1.164841005494e-02      -8.848906978115e-03       6.119439858122e-01       5.966871034145e-01 
       3.051815208062e-04      -1.357860524761e-02      -1.022058153107e-02      -1.022088911812e-02      -1.357279934220e-02      -1.031652745083e-02       6.119041544738e-01       5.966605191001e-01 
       3.295274261680e-04      -1.582140127638e-02      -1.191582647737e-02      -1.191624458897e-02      -1.581351459753e-02      -1.202745324141e-02       6.118577300318e-01       5.966295292336e-01 
       3.558155300819e-04      -1.843269171156e-02      -1.389215857645e-02      -1.389272692617e-02      -1.842197980615e-02      -1.402198260463e-02       6.118036230911e-01       5.965934045997e-01 
       3.842007717529e-04      -2.147231984626e-02      -1.619615019933e-02      -1.619692277546e-02      -2.145777258417e-02      -1.634707493802e-02       6.117405688105e-01       5.965512977705e-01 
       4.148504506860e-04      -2.500959506267e-02      -1.888207775297e-02      -1.888312792979e-02      -2.498984243330e-02      -1.905744700526e-02       6.116670929574e-01       5.965022180805e-01 
       4.479452127312e-04      -2.912469896873e-02      -2.201319166641e-02      -2.201461918470e-02      -2.909788338841e-02      -2.221684794303e-02       6.115814786753e-01       5.964450135903e-01 
       4.836801147907e-04      -3.391026627009e-02      -2.566319410064e-02      -2.566513454964e-02      -3.387387017467e-02      -2.589954143700e-02       6.114817319061e-01       5.963783431007e-01 
       5.222657744628e-04      -3.947314942073e-02      -2.991795801132e-02      -2.992059562057e-02      -3.942376264304e-02      -3.019202808900e-02       6.113655342034e-01       5.963006449729e-01 
       5.639296113988e-04      -4.593637059077e-02      -3.487752546802e-02      -3.488111076538e-02      -4.586937615976e-02      -3.519504544300e-02       6.112301901062e-01       5.962101021379e-01 
       6.089171876895e-04      -5.344125338019e-02      -4.065843115941e-02      -4.066330446881e-02      -5.335040570684e-02      -4.102588954133e-02       6.110725723642e-01       5.961045996284e-01 
       6.574936551816e-04      -6.214971961212e-02      -4.739639993216e-02      -4.740302413932e-02      -6.202657503296e-02      -4.782110689418e-02       6.108890479919e-01       5.959816789635e-01 
       7.099453182532e-04      -7.224670479609e-02      -5.524948040118e-02      -5.525848431665e-02      -7.207986101878e-02      -5.573961404794e-02       6.106754083152e-01       5.958384801029e-01 
       7.665813212606e-04      -8.394263592885e-02      -6.440167805251e-02      -6.441391638106e-02      -8.371671065816e-02      -6.496630828359e-02       6.104267745623e-01       5.956716804110e-01 
       8.277354706016e-04      -9.747585669160e-02      -7.506716782040e-02      -7.508380214054e-02      -9.717012571644e-02      -7.571624243599e-02       6.101375017632e-01       5.954774206639e-01 
       8.937682021332e-04      -1.131148449532e-01      -8.749517156935e-02      -8.751778041644e-02      -1.127014296637e-01      -8.823944507229e-02       6.098010654008e-01       5.952512215258e-01 
       9.650687055417e-04      -1.311599892401e-01      -1.019755992811e-01      -1.020063282019e-01      -1.306014523659e-01      -1.028264772648e-01       6.094099360242e-01       5.949878889311e-01 
       1.042057218184e-03      -1.519445874302e-01      -1.188455661554e-01      -1.188873305547e-01      -1.511907632635e-01      -1.198148265823e-01       6.089554374603e-01       5.946814020373e-01 
       1.125187501919e-03      -1.758346123710e-01      -1.384969080677e-01      -1.385536690843e-01      -1.748184455134e-01      -1.395962497303e-01       6.084275951868e-01       5.943247926552e-01 
       1.214949517534e-03      -2.032266149179e-01      -1.613848314874e-01      -1.614619723060e-01      -2.018587325061e-01      -1.626251834072e-01       6.078149685895e-01       5.939100049616e-01 
       1.311872312515e-03      -2.345429076874e-01      -1.880378550910e-01      -1.881426876585e-01      -2.327046106825e-01      -1.894283533354e-01       6.071044717248e-01       5.934277377408e-01 
       1.416527139199e-03      -2.702217183782e-01      -2.190682320597e-01      -2.192108517098e-01      -2.677581466647e-01      -2.206149053662e-01       6.062785133444e-01       5.928649824889e-01 
       1.529530821670e-03      -3.107062321320e-01      -2.551872103366e-01      -2.553812085461e-01      -3.074122287408e-01      -2.568907166889e-01       6.053222295586e-01       5.922110519697e-01 
       1.651549391254e-03      -3.564217639812e-01      -2.972183099298e-01      -2.974820979131e-01      -3.520282283193e-01      -2.990711493212e-01       6.042171321418e-01       5.914523736755e-01 
       1.783302012034e-03      -4.077456368238e-01      -3.461140884188e-01      -3.464726678982e-01      -4.019029516745e-01      -3.480968105003e-01       6.029416198237e-01       5.905726999088e-01 
       1.925565219523e-03      -4.649656699213e-01      -4.029752968856e-01      -4.034626110443e-01      -4.572235200429e-01      -4.050514115544e-01       6.014715970108e-01       5.895535010895e-01 
       2.079177497483e-03      -5.282238633491e-01      -4.690721119020e-01      -4.697342391392e-01      -5.180083054010e-01      -4.711814466413e-01       5.997803976919e-01       5.883737300537e-01 
       2.245044219853e-03      -5.974427444961e-01      -5.458678007270e-01      -5.467672870370e-01      -5.840317148022e-01      -5.479179971511e-01       5.978388049832e-01       5.870096007458e-01 
       2.424142986925e-03      -6.722319935754e-01      -6.350448941584e-01      -6.362665898142e-01      -6.547318682353e-01      -6.369007401104e-01       5.956151736064e-01       5.854343679236e-01 
       2.617529387212e-03      -7.517745451677e-01      -7.385337815996e-01      -7.401928000590e-01      -7.291021895673e-01      -7.400042826648e-01       5.930757491634e-01       5.836181772810e-01 
       2.826343218975e-03      -8.346934843563e-01      -8.585437723099e-01      -8.607961716373e-01      -8.055717236041e-01      -8.593669294787e-01       5.901852001200e-01       5.815279794637e-01 
       3.051815208062e-03      -9.189066555437e-01      -9.975960882806e-01      -1.000653425587e+00      -8.818847906782e-01      -9.974220548923e-01       5.869074390748e-01       5.791275652092e-01 
       3.295274261680e-03      -1.001482293560e+00      -1.158558548633e+00      -1.162707445565e+00      -9.549995777030e-01      -1.156932289468e+00       5.832067309383e-01       5.763777153582e-01 
       3.558155300819e-03      -1.078521556233e+00      -1.344681314233e+00      -1.350309840844e+00      -1.021036952608e+00      -1.341027256833e+00       5.790492952804e-01       5.732366883128e-01 
       3.842007717529e-03      -1.145108537196e+00      -1.559632532405e+00      -1.567265766814e+00      -1.075326430855e+00      -1.553245415168e+00       5.744052365337e-01       5.696609385047e-01 
       4.148504506860e-03      -1.195388149178e+00      -1.807532462432e+00      -1.817880470243e+00      -1.112612037909e+00      -1.797581099036e+00       5.692507888484e-01       5.656061707015e-01 
       4.479452127312e-03      -1.222853485059e+00      -2.092985198457e+00      -2.107007691132e+00      -1.127492432368e+00      -2.078538975176e+00       5.635709703020e-01       5.610290314411e-01 
       4.836801147907e-03      -1.220938075604e+00      -2.421106047375e+00      -2.440097728282e+00      -1.115170146178e+00      -2.401196297208e+00       5.573618995843e-01       5.558890065851e-01 
       5.222657744628e-03      -1.184016311232e+00      -2.797540795494e+00      -2.823248389004e+00      -1.072550742102e+00      -2.771277231691e+00       5.506332108142e-01       5.501513996355e-01 
       5.639296113988e-03      -1.108860216645e+00      -3.228477343600e+00      -3.263253252890e+00      -9.996567646447e-01      -3.195235161828e+00       5.434087277360e-01       5.437900967971e-01 
       6.089171876895e-03      -9.965208634293e-01      -3.720645699692e+00      -3.767653898244e+00      -9.011586042877e-01      -3.680344951561e+00       5.357259754110e-01       5.367912719095e-01 
       6.574936551816e-03      -8.543665805371e-01      -4.281303188286e+00      -4.344790603319e+00      -7.875888504604e-01      -4.234790627392e+00       5.276324018224e-01       5.291563272087e-01 
       7.099453182532e-03      -6.977201919878e-01      -4.918196034702e+00      -5.003854958335e+00      -6.755072769751e-01      -4.867732013129e+00       5.191782847144e-01       5.209040216499e-01 
       7.665813212606e-03      -5.500998877630e-01      -5.639496335000e+00      -5.754941426198e+00      -5.856541445448e-01      -5.589319794508e+00       5.104059717048e-01       5.120705252034e-01 
       8.277354706016e-03      -4.407319665634e-01      -6.453706233569e+00      -6.609096880813e+00      -5.382180579673e-01      -6.410624433262e+00       5.013367150934e-01       5.027063765021e-01 
       8.937682021332e-03      -3.980352784687e-01      -7.369498525422e+00      -7.578353057846e+00      -5.451403138638e-01      -7.343439201845e+00       4.919571135304e-01       4.928684410948e-01 
       9.650687055417e-03      -4.387460274939e-01      -8.395478092530e+00      -8.675731524449e+00      -6.012368841057e-01      -8.399961714231e+00       4.822105385026e-01       4.826070787084e-01 
       1.042057218184e-02      -5.548182839550e-01      -9.539835155707e+00      -9.915193335951e+00      -6.787013076139e-01      -9.592415792988e+00       4.719991572049e-01       4.719494317556e-01 
