# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.806129284914e-01      -4.901837617557e-02      -1.765006256050e+02      -2.506529329606e+02      -4.893651938006e-02      -2.321904786883e+02       3.789461437465e-02       3.789461437465e-02 
       1.866528319344e-01      -4.747103802288e-02      -1.880577037974e+02      -2.576767966881e+02      -4.739147008171e-02      -2.397057802299e+02       3.663023571942e-02       3.663023571942e-02 
       1.928947020170e-01      -4.580477684067e-02      -1.976204687427e+02      -2.644877462480e+02      -4.572783860653e-02      -2.467423884110e+02       3.530475861030e-02       3.530475861030e-02 
       1.993453060694e-01      -4.389393343183e-02      -2.029905465504e+02      -2.705413845228e+02      -4.382021422883e-02      -2.525190248369e+02       3.383077625652e-02       3.383077625652e-02 
       2.060116268837e-01      -4.174741331241e-02      -2.035487001852e+02      -2.756209532388e+02      -4.167745719231e-02      -2.567636932440e+02       3.220919883914e-02       3.220919883914e-02 
       2.129008988222e-01      -3.950027742701e-02      -2.007324282708e+02      -2.799676311466e+02      -3.943431345573e-02      -2.598932609283e+02       3.052598765752e-02       3.052598765752e-02 
       2.200206500936e-01      -3.734524184147e-02      -1.975538684876e+02      -2.841468316177e+02      -3.728307216011e-02      -2.628304010984e+02       2.890535590375e-02       2.890535590375e-02 
       2.273787519204e-01      -3.544444704193e-02      -1.973308025037e+02      -2.888069442098e+02      -3.538552337565e-02      -2.666123758568e+02       2.745427815718e-02       2.745427815718e-02 
       2.349834754098e-01      -3.386966712332e-02      -2.021311913418e+02      -2.944618859119e+02      -3.381330638988e-02      -2.719756010766e+02       2.622313437701e-02       2.622313437701e-02 
       2.428435570741e-01      -3.256469382642e-02      -2.115246907535e+02      -3.011927593616e+02      -3.251035850072e-02      -2.789208164210e+02       2.518006520319e-02       2.518006520319e-02 
       2.509682741142e-01      -3.136688106752e-02      -2.224775214477e+02      -3.084559587397e+02      -3.131439788825e-02      -2.865399047093e+02       2.422012414245e-02       2.422012414245e-02 
       2.593675308069e-01      -3.010552325365e-02      -2.309826421127e+02      -3.154014209441e+02      -3.005508445962e-02      -2.935252739423e+02       2.322966997057e-02       2.322966997057e-02 
       2.680519576331e-01      -2.870249116780e-02      -2.345461888017e+02      -3.214214030541e+02      -2.865443976574e-02      -2.989986817331e+02       2.215439845011e-02       2.215439845011e-02 
       2.770330251641e-01      -2.720673004068e-02      -2.338733426733e+02      -3.264848522734e+02      -2.716128249494e-02      -3.030423140322e+02       2.102174546470e-02       2.102174546470e-02 
       2.863231752171e-01      -2.575995161852e-02      -2.326625341021e+02      -3.312946176041e+02      -2.571700727772e-02      -3.067961163716e+02       1.992348813584e-02       1.992348813584e-02 
       2.959359724176e-01      -2.449151529293e-02      -2.350157829971e+02      -3.368111991851e+02      -2.445070103079e-02      -3.116726082312e+02       1.894661139699e-02       1.894661139699e-02 
       3.058862801180e-01      -2.341322596861e-02      -2.420953192602e+02      -3.433674648881e+02      -2.337415627677e-02      -3.181217287464e+02       1.810096202219e-02       1.810096202219e-02 
       3.161904656516e-01      -2.243150534772e-02      -2.512431800842e+02      -3.505264273575e+02      -2.239400840853e-02      -3.253800212274e+02       1.732692732518e-02       1.732692732518e-02 
       3.268666412351e-01      -2.142865546227e-02      -2.581840002542e+02      -3.573939453436e+02      -2.139281224353e-02      -3.320628533659e+02       1.654654099635e-02       1.654654099635e-02 
       3.379349485496e-01      -2.036272790956e-02      -2.609158473717e+02      -3.634109235260e+02      -2.032869694756e-02      -3.374068907405e+02       1.572953177775e-02       1.572953177775e-02 
       3.494178972595e-01      -1.929890832011e-02      -2.617281247168e+02      -3.689869179189e+02      -1.926669696109e-02      -3.420968828483e+02       1.491718359783e-02       1.491718359783e-02 
       3.613407706443e-01      -1.832366000483e-02      -2.646549633207e+02      -3.749421969454e+02      -1.829308739763e-02      -3.474201550279e+02       1.416605831658e-02       1.416605831658e-02 
       3.737321153481e-01      -1.745899397044e-02      -2.711740959933e+02      -3.817440467760e+02      -1.742984080542e-02      -3.539848658883e+02       1.349247852827e-02       1.349247852827e-02 
       3.866243373291e-01      -1.663951455896e-02      -2.784526720785e+02      -3.888272072311e+02      -1.661170727835e-02      -3.608958311012e+02       1.285379300454e-02       1.285379300454e-02 
       4.000544328602e-01      -1.580859997604e-02      -2.832486995036e+02      -3.955379184995e+02      -1.578218469999e-02      -3.671229597264e+02       1.221240317376e-02       1.221240317376e-02 
       4.140648925314e-01      -1.497675786541e-02      -2.859994610533e+02      -4.018554881280e+02      -1.495174960786e-02      -3.727160382877e+02       1.157361361782e-02       1.157361361782e-02 
       4.287048285009e-01      -1.419408185062e-02      -2.899403201206e+02      -4.084234935964e+02      -1.417038487662e-02      -3.786958078879e+02       1.096986841688e-02       1.096986841688e-02 
       4.440313919696e-01      -1.347000233495e-02      -2.960985271245e+02      -4.155191471872e+02      -1.344750430660e-02      -3.854460340717e+02       1.040791781385e-02       1.040791781385e-02 
       4.601115706904e-01      -1.277063293465e-02      -3.021105302025e+02      -4.228057854825e+02      -1.274929793302e-02      -3.923303431552e+02       9.866273872054e-03       9.866273872054e-03 
       4.770244875672e-01      -1.207443159968e-02      -3.064287836496e+02      -4.298620867340e+02      -1.205426545570e-02      -3.987675621642e+02       9.329664276421e-03       9.329664276421e-03 
       4.948643640548e-01      -1.140273255680e-02      -3.109749159546e+02      -4.369998513065e+02      -1.138369118978e-02      -4.053062655832e+02       8.811268986529e-03       8.811268986529e-03 
       5.137443698174e-01      -1.076879132060e-02      -3.170284236205e+02      -4.446456769725e+02      -1.075080454643e-02      -4.124910413630e+02       8.320469559277e-03       8.320469559277e-03 
       5.338016567636e-01      -1.015020877899e-02      -3.227449224849e+02      -4.524311476352e+02      -1.013325478260e-02      -4.197387412825e+02       7.842357807270e-03       7.842357807270e-03 
       5.552039731904e-01      -9.543633992795e-03      -3.279244875492e+02      -4.602883911539e+02      -9.527695346373e-03      -4.269632769297e+02       7.374164012295e-03       7.374164012295e-03 
       5.781583674291e-01      -8.959920159775e-03      -3.340066348054e+02      -4.685568829668e+02      -8.944955259842e-03      -4.346623130305e+02       6.922862811627e-03       6.922862811627e-03 
       6.029225949755e-01      -8.390666068626e-03      -3.402350567119e+02      -4.771590610324e+02      -8.376651697249e-03      -4.426569203007e+02       6.482932188411e-03       6.482932188411e-03 
       6.298198624549e-01      -7.832363880153e-03      -3.464378927998e+02      -4.860697028032e+02      -7.819282583136e-03      -4.509002179305e+02       6.051667412744e-03       6.051667412744e-03 
       6.592572810952e-01      -7.287907023843e-03      -3.533009395221e+02      -4.955142032229e+02      -7.275734588159e-03      -4.596814321109e+02       5.630855429278e-03       5.630855429278e-03 
       6.917474165734e-01      -6.752069946258e-03      -3.603277999171e+02      -5.054597840647e+02      -6.740792733558e-03      -4.688979694224e+02       5.216876072737e-03       5.216876072737e-03 
       7.279297173463e-01      -6.225958769661e-03      -3.679624427297e+02      -5.160915868828e+02      -6.215560095859e-03      -4.787691896125e+02       4.810326227187e-03       4.810326227187e-03 
       7.685829635603e-01      -5.707687479601e-03      -3.760478185000e+02      -5.274534164240e+02      -5.698154493519e-03      -4.893069971443e+02       4.409883643880e-03       4.409883643880e-03 
       8.146102291160e-01      -5.198832391562e-03      -3.847894611407e+02      -5.396874149596e+02      -5.190149263986e-03      -5.006591545934e+02       4.016702182539e-03       4.016702182539e-03 
       8.669680479360e-01      -4.701823244436e-03      -3.941842512249e+02      -5.528468001981e+02      -4.693970213373e-03      -5.128687648710e+02       3.632680762545e-03       3.632680762545e-03 
       9.265193830902e-01      -4.221974186244e-03      -4.042582116745e+02      -5.669606970935e+02      -4.214922597435e-03      -5.259636491358e+02       3.261924154752e-03       3.261924154752e-03 
       9.938458885582e-01      -3.766327902674e-03      -4.149522414318e+02      -5.819430934675e+02      -3.760037334972e-03      -5.398643549775e+02       2.909870702659e-03       2.909870702659e-03 
       1.069144954153e+00      -3.342214734509e-03      -4.261443386049e+02      -5.976238432265e+02      -3.336632521074e-03      -5.544129355962e+02       2.582184594790e-03       2.582184594790e-03 
       1.152332760331e+00      -2.954917472703e-03      -4.376808468822e+02      -6.137870661141e+02      -2.949982125899e-03      -5.694091628038e+02       2.282946485477e-03       2.282946485477e-03 
       1.243295708723e+00      -2.606537372577e-03      -4.494454413972e+02      -6.302686708240e+02      -2.602183891654e-03      -5.847009141243e+02       2.013779837285e-03       2.013779837285e-03 
       1.342095772803e+00      -2.296033826806e-03      -4.613341284588e+02      -6.469263671006e+02      -2.292198952330e-03      -6.001558011990e+02       1.773879297107e-03       1.773879297107e-03 
       1.449029203296e+00      -2.020743229738e-03      -4.733053728967e+02      -6.636999041718e+02      -2.017368150802e-03      -6.157181474365e+02       1.561186336524e-03       1.561186336524e-03 
       1.564586374602e+00      -1.777315455954e-03      -4.853388232834e+02      -6.805609338497e+02      -1.774346953836e-03      -6.313616333018e+02       1.373112609361e-03       1.373112609361e-03 
       1.689391516011e+00      -1.562344672091e-03      -4.974209231004e+02      -6.974901246847e+02      -1.559735218704e-03      -6.470683598038e+02       1.207025917452e-03       1.207025917452e-03 
       1.824160856864e+00      -1.372678603185e-03      -5.095496012554e+02      -7.144850457967e+02      -1.370385933748e-03      -6.628360201998e+02       1.060490736379e-03       1.060490736379e-03 
       1.969683202239e+00      -1.205449463936e-03      -5.217198349557e+02      -7.315387507455e+02      -1.203436104851e-03      -6.786581596170e+02       9.312908806770e-04       9.312908806770e-04 
       2.126814942975e+00      -1.058098424173e-03      -5.339311581283e+02      -7.486498671586e+02      -1.056331174303e-03      -6.945335830508e+02       8.174493962396e-04       8.174493962396e-04 
       2.296481943529e+00      -9.283340084174e-04      -5.461768905459e+02      -7.658108308973e+02      -9.267834949206e-04      -7.104550768942e+02       7.171955419790e-04       7.171955419790e-04 
       2.479684162707e+00      -8.141302983464e-04      -5.584616676675e+02      -7.830253512933e+02      -8.127705308950e-04      -7.264263859713e+02       6.289641619440e-04       6.289641619440e-04 
       2.677501369259e+00      -7.136718445979e-04      -5.707784496572e+02      -8.002861262038e+02      -7.124798660301e-04      -7.424404563540e+02       5.513523743607e-04       5.513523743607e-04 
       2.891099475621e+00      -6.253540477256e-04      -5.831291469920e+02      -8.175938755091e+02      -6.243095801314e-04      -7.584981690372e+02       4.831205242420e-04       4.831205242420e-04 
       3.121737405594e+00      -5.477465533664e-04      -5.955079638893e+02      -8.349421813503e+02      -5.468317083919e-04      -7.745933840722e+02       4.231633685741e-04       4.231633685741e-04 
       3.370774513870e+00      -4.795851964410e-04      -6.079146284775e+02      -8.523299240207e+02      -4.787841969005e-04      -7.907251430301e+02       3.705042229823e-04       3.705042229823e-04 
       3.639678597884e+00      -4.197500732930e-04      -6.203487496096e+02      -8.697573581139e+02      -4.190490126274e-04      -8.068935946700e+02       3.242777968061e-04       3.242777968061e-04 
       3.930034548851e+00      -3.672466905640e-04      -6.328073676910e+02      -8.872187400892e+02      -3.666333229244e-04      -8.230935840532e+02       2.837157817506e-04       2.837157817506e-04 
       4.243553692939e+00      -3.211974839615e-04      -6.452879280946e+02      -9.047125067184e+02      -3.206610295533e-04      -8.393234412146e+02       2.481401055078e-04       2.481401055078e-04 
       4.582083877640e+00      -2.808291544616e-04      -6.577957787359e+02      -9.222452946117e+02      -2.803601248997e-04      -8.555894168249e+02       2.169533429023e-04       2.169533429023e-04 
       4.947620362778e+00      -2.454525953225e-04      -6.703225321987e+02      -9.398051837630e+02      -2.450426531655e-04      -8.718804698705e+02       1.896230922173e-04       1.896230922173e-04 
       5.342317580354e+00      -2.144640707255e-04      -6.828687530837e+02      -9.573944287052e+02      -2.141058870303e-04      -8.881985326844e+02       1.656828890430e-04       1.656828890430e-04 
       5.768501832533e+00      -1.873285236323e-04      -6.954290581746e+02      -9.750044347875e+02      -1.870156629997e-04      -9.045357457734e+02       1.447193736728e-04       1.447193736728e-04 
       6.228685002611e+00      -1.635778178793e-04      -7.080092314722e+02      -9.926442696692e+02      -1.633046268616e-04      -9.209004171003e+02       1.263708604523e-04       1.263708604523e-04 
       6.725579359783e+00      -1.427962168039e-04      -7.206034264795e+02      -1.010305492489e+03      -1.425577362923e-04      -9.372847424120e+02       1.103161643478e-04       1.103161643478e-04 
       7.262113544957e+00      -1.246197944037e-04      -7.332142480118e+02      -1.027992865722e+03      -1.244116731700e-04      -9.536930190938e+02       9.627411660619e-05       9.627411660619e-05 
       7.841449831849e+00      -1.087265106722e-04      -7.458350066163e+02      -1.045697046336e+03      -1.085449353441e-04      -9.701165754878e+02       8.399592103627e-05       8.399592103627e-05 
       8.467002765069e+00      -9.483496480455e-05      -7.584696580369e+02      -1.063424416637e+03      -9.467659202440e-05      -9.865612415854e+02       7.326417341130e-05       7.326417341130e-05 
       9.142459285082e+00      -8.269661287690e-05      -7.711146381542e+02      -1.081169931976e+03      -8.255851438965e-05      -1.003022342523e+03       6.388686018826e-05       6.388686018826e-05 
       9.871800458623e+00      -7.209376149803e-05      -7.837708161436e+02      -1.098936184838e+03      -7.197337266739e-05      -1.019502133868e+03       5.569579527959e-05       5.569579527959e-05 
       1.065932494268e+01      -6.283445138210e-05      -7.964306688546e+02      -1.116713286952e+03      -6.272952818089e-05      -1.035991370255e+03       4.854267905947e-05       4.854267905947e-05 
       1.150967432028e+01      -5.475133170045e-05      -8.090994065308e+02      -1.134509687239e+03      -5.465990961798e-05      -1.052497765427e+03       4.229822265156e-05       4.229822265156e-05 
       1.242786045752e+01      -4.769672597021e-05      -8.217711860903e+02      -1.152318258648e+03      -4.761708714640e-05      -1.069014591513e+03       3.684833785685e-05       3.684833785685e-05 
       1.341929504291e+01      -4.154165768869e-05      -8.344476435757e+02      -1.170142747414e+03      -4.147229968477e-05      -1.085545165888e+03       3.209338308463e-05       3.209338308463e-05 
       1.448982148328e+01      -3.617282056171e-05      -8.471259609868e+02      -1.187980920276e+03      -3.611243018707e-05      -1.102087229744e+03       2.794582309124e-05       2.794582309124e-05 
       1.564574934421e+01      -3.149100282629e-05      -8.598040060805e+02      -1.205831761537e+03      -3.143843259686e-05      -1.118639625956e+03       2.432901172349e-05       2.432901172349e-05 
       1.689389153788e+01      -2.740919969252e-05      -8.724752937054e+02      -1.223688729893e+03      -2.736344744407e-05      -1.135196008330e+03       2.117573319650e-05       2.117573319650e-05 
       1.824160447766e+01      -2.385162763321e-05      -8.851452620564e+02      -1.241562090370e+03      -2.381181777610e-05      -1.151765612567e+03       1.842744152881e-05       1.842744152881e-05 
       1.969683143598e+01      -2.075154303872e-05      -8.978048226719e+02      -1.259442395905e+03      -2.071691146076e-05      -1.168339315733e+03       1.603257417738e-05       1.603257417738e-05 
       2.126814936113e+01      -1.805075909520e-05      -9.104508467171e+02      -1.277329137526e+03      -1.802063886976e-05      -1.184916223571e+03       1.394617931614e-05       1.394617931614e-05 
       2.296481942883e+01      -1.569847920296e-05      -9.230850156402e+02      -1.295229210573e+03      -1.567228824548e-05      -1.201502239126e+03       1.212901452598e-05       1.212901452598e-05 
       2.479684162659e+01      -1.365009307064e-05      -9.356971680931e+02      -1.313133843193e+03      -1.362732380648e-05      -1.218088628654e+03       1.054661646689e-05       1.054661646689e-05 
       2.677501369256e+01      -1.186678376475e-05      -9.482865948454e+02      -1.331048284879e+03      -1.184699345218e-05      -1.234679582625e+03       9.168997677881e-06       9.168997677881e-06 
       2.891099475621e+01      -1.031452035927e-05      -9.608427765657e+02      -1.348965330454e+03      -1.029732309623e-05      -1.251267595588e+03       7.969867954050e-06       7.969867954050e-06 
       3.121737405594e+01      -8.963698656581e-06      -9.733643304883e+02      -1.366891754710e+03      -8.948757986743e-06      -1.267858004266e+03       6.926357074153e-06       6.926357074153e-06 
       3.370774513870e+01      -7.788418355403e-06      -9.858447473793e+02      -1.384828884890e+03      -7.775441082144e-06      -1.284450902182e+03       6.018456139649e-06       6.018456139649e-06 
       3.639678597884e+01      -6.765958580668e-06      -9.982598112045e+02      -1.402754850390e+03      -6.754689455732e-06      -1.301024684506e+03       5.228612533958e-06       5.228612533958e-06 
       3.930034548851e+01      -5.876727598640e-06      -1.010615719701e+03      -1.420692776125e+03      -5.866944096983e-06      -1.317599233554e+03       4.541691047333e-06       4.541691047333e-06 
       4.243553692939e+01      -5.103473804585e-06      -1.022894322518e+03      -1.438633980097e+03      -5.094982214792e-06      -1.334164670016e+03       3.944364311013e-06       3.944364311013e-06 
       4.582083877640e+01      -4.431178830915e-06      -1.035077967767e+03      -1.456573540542e+03      -4.423810525408e-06      -1.350714269831e+03       3.425030181770e-06       3.425030181770e-06 
       4.947620362778e+01      -3.846793930141e-06      -1.047157218647e+03      -1.474521619053e+03      -3.840402075722e-06      -1.367254914038e+03       2.973608143325e-06       2.973608143325e-06 
       5.342317580354e+01      -3.338865745972e-06      -1.059098740676e+03      -1.492458736826e+03      -3.333322638324e-06      -1.383765564902e+03       2.581250139442e-06       2.581250139442e-06 
