# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       8.980856820338e+13       9.372567846669e-26       5.162291927263e-09       1.739952088621e+22       1.415189798879e+04       1.575784835668e-10       1.270961695734e+18       2.980024645718e-09       1.789988176302e+44       1.803957601300e+33       8.059570747630e+19       9.680148935709e+33       2.447732513037e+14       0.000000000000e+00       2.431828577767e+21       3.345093077369e+17      -7.527682840417e+05       3.530299370118e-08       1.237445094279e+44       3.027433270696e+44       3.027433270696e+44       1.009144423527e+44      -7.820469616928e+52       6.586276043855e-06       1.646118170433e+00 
       8.884838741853e+13       9.576240376613e-26       5.216861609370e-09       1.702945872203e+22       1.415189798879e+04       1.592814276092e-10       1.257373315216e+18       3.012229646798e-09       1.714657057307e+44       1.746713423485e+33       7.803820002344e+19       9.372973109315e+33       2.421562785803e+14       0.000000000000e+00       2.367349619219e+21       3.256399277219e+17      -7.349906117531e+05       3.530299370118e-08       1.185367586236e+44       2.900024643655e+44       2.900024643655e+44       9.666748811811e+43      -7.411254369381e+52       6.702814214471e-06       1.617498012609e+00 
       8.789847232612e+13       9.784338856396e-26       5.273250280879e-09       1.666726723466e+22       1.415189798879e+04       1.610027752961e-10       1.243930213730e+18       3.044782685987e-09       1.642496226007e+44       1.691285749500e+33       7.556184880801e+19       9.075544755708e+33       2.395672850003e+14       0.000000000000e+00       2.304580294367e+21       3.170057157568e+17      -7.185798770758e+05       3.530299370118e-08       1.135481744601e+44       2.777977970715e+44       2.777977970715e+44       9.259926568692e+43      -7.023451789746e+52       6.819352385082e-06       1.589856053482e+00 
       8.695871317136e+13       9.996959462967e-26       5.331457941793e-09       1.631277902639e+22       1.415189798879e+04       1.627427255151e-10       1.230630838038e+18       3.077687524502e-09       1.573372261788e+44       1.637616937045e+33       7.316407853551e+19       8.787554562703e+33       2.370059714283e+14       0.000000000000e+00       2.243475272966e+21       3.086004364559e+17      -7.024784252374e+05       3.530299370118e-08       1.087695333746e+44       2.661067595638e+44       2.661067595638e+44       8.870225318445e+43      -6.655941435054e+52       6.935890555689e-06       1.563142985411e+00 
       8.602900137289e+13       1.021420046245e-25       5.387846613303e-09       1.596583025983e+22       1.415189798879e+04       1.645014793029e-10       1.217473651507e+18       3.110947964195e-09       1.507157359005e+44       1.585651172954e+33       7.084239563209e+19       8.508703033382e+33       2.344720419281e+14       0.000000000000e+00       2.183990426688e+21       3.004180197629e+17      -6.852099878558e+05       3.530299370118e-08       1.041919999751e+44       2.549077358857e+44       2.549077358857e+44       8.496924529186e+43      -6.307661490828e+52       7.052428726291e-06       1.537312759907e+00 
       8.510922951025e+13       1.043616225893e-25       5.446054274216e-09       1.562626058217e+22       1.415189798879e+04       1.662792398689e-10       1.204457133934e+18       3.144567848029e-09       1.443729090674e+44       1.535334415158e+33       6.859438565141e+19       8.238700174627e+33       2.319652037252e+14       0.000000000000e+00       2.126082797242e+21       2.924525565654e+17      -6.666438116871e+05       3.530299370118e-08       9.980711070464e+43       2.441800197818e+44       2.441800197818e+44       8.139333992402e+43      -5.977605703280e+52       7.168966896887e-06       1.512322322709e+00 
       8.419929131143e+13       1.066294744229e-25       5.506080924533e-09       1.529391305106e+22       1.415189798879e+04       1.680762126186e-10       1.191579781368e+18       3.178551060534e-09       1.382970182115e+44       1.486614336480e+33       6.641771076361e+19       7.977265195541e+33       2.294851671730e+14       0.000000000000e+00       2.069710565344e+21       2.846982944270e+17      -6.485512950993e+05       3.530299370118e-08       9.560675819248e+43       2.339037764134e+44       2.339037764134e+44       7.796792546798e+43      -5.664820472032e+52       7.285505067477e-06       1.488131374309e+00 
       8.329908164066e+13       1.089466082148e-25       5.564288585447e-09       1.496863406209e+22       1.415189798879e+04       1.698926051771e-10       1.178840105939e+18       3.212901528124e-09       1.324768294116e+44       1.439440270216e+33       6.431010732419e+19       7.724126215441e+33       2.270316457285e+14       0.000000000000e+00       2.014833020566e+21       2.771496334392e+17      -6.277732242527e+05       3.530299370118e-08       9.158317626413e+43       2.240600056849e+44       2.240600056849e+44       7.468666855858e+43      -5.368402094962e+52       7.402043238060e-06       1.464702153154e+00 
       8.240849648618e+13       1.113140949342e-25       5.624315235764e-09       1.465027327780e+22       1.415189798879e+04       1.717286274137e-10       1.166236635682e+18       3.247623219745e-09       1.269015815230e+44       1.393763157448e+33       6.226938351984e+19       7.479019981109e+33       2.246043559048e+14       0.000000000000e+00       1.961410531865e+21       2.698011221682e+17      -6.063703279189e+05       3.530299370118e-08       8.772892558222e+43       2.146305071141e+44       2.146305071141e+44       7.154350236842e+43      -5.087494157226e+52       7.518581408642e-06       1.441999238858e+00 
       8.152743294829e+13       1.137330287972e-25       5.686160875484e-09       1.433868355815e+22       1.415189798879e+04       1.735844914652e-10       1.153767914372e+18       3.282720147207e-09       1.215609662805e+44       1.349535496021e+33       6.029341708908e+19       7.241691593026e+33       2.222030172484e+14       0.000000000000e+00       1.909404519012e+21       2.626474537243e+17      -5.846979814140e+05       3.530299370118e-08       8.403687989172e+43       2.055978461808e+44       2.055978461808e+44       6.853261539073e+43      -4.821285056888e+52       7.635119579223e-06       1.419989373603e+00 
